Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),Skills_list,Hire_binary,gender,ethnicity
1,Ashley Ali,"TensorFlow, NLP, Pytorch",10,B.Sc,None,AI Researcher,Hire,104895,8,100,"['tensorflow', 'nlp', 'pytorch']",1,female,unknown
2,Wesley Roman,"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,Hire,113002,1,100,"['deep learning', 'machine learning', 'python', 'sql']",1,male,unknown
3,Corey Sanchez,"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,71766,7,70,"['ethical hacking', 'cybersecurity', 'linux']",1,unknown,Hispanic
4,Elizabeth Carney,"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,Hire,46848,0,95,"['python', 'pytorch', 'tensorflow']",1,female,unknown
5,Julie Hill,"SQL, React, Java",4,PhD,None,Software Engineer,Hire,87441,9,100,"['sql', 'react', 'java']",1,female,unknown
6,Samantha Santos,"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,47957,5,100,"['cybersecurity', 'networking', 'linux', 'ethical hacking']",1,female,Hispanic
7,Tony Smith,"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,66208,9,100,"['networking', 'cybersecurity', 'ethical hacking']",1,male,unknown
8,Anthony Harrison,"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,Hire,103006,7,90,"['tensorflow', 'pytorch', 'nlp']",1,male,unknown
9,Nancy Jenkins,"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,92270,3,100,"['networking', 'ethical hacking']",1,female,unknown
10,Courtney Gibson,"Python, TensorFlow, Pytorch, NLP",0,M.Tech,AWS Certified,AI Researcher,Reject,60579,1,35,"['python', 'tensorflow', 'pytorch', 'nlp']",0,female,unknown
11,Laura French,"SQL, Java, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,88945,7,70,"['sql', 'java', 'c++']",1,female,unknown
12,Ralph Barrera,"Cybersecurity, Ethical Hacking, Networking",0,MBA,Google ML,Cybersecurity Analyst,Reject,62708,5,50,"['cybersecurity', 'ethical hacking', 'networking']",0,male,Hispanic
13,David Diaz,"Cybersecurity, Networking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,42077,9,65,"['cybersecurity', 'networking']",1,male,Hispanic
14,Caitlin Myers,"SQL, C++, Java",4,B.Sc,Deep Learning Specialization,Software Engineer,Hire,50410,10,100,"['sql', 'c++', 'java']",1,female,unknown
15,Tammy Pineda,"Pytorch, NLP",0,M.Tech,Deep Learning Specialization,AI Researcher,Reject,96555,5,45,"['pytorch', 'nlp']",0,female,Hispanic
16,Courtney Cook,"Cybersecurity, Networking",1,PhD,Google ML,Cybersecurity Analyst,Reject,51388,6,60,"['cybersecurity', 'networking']",0,female,unknown
17,Megan Brown,"SQL, Python",10,PhD,None,Data Scientist,Hire,115364,2,100,"['sql', 'python']",1,female,unknown
18,Frances Davis MD,"Linux, Networking, Cybersecurity, Ethical Hacking",3,B.Tech,None,Cybersecurity Analyst,Hire,66379,6,80,"['linux', 'networking', 'cybersecurity', 'ethical hacking']",1,female,unknown
19,Jonathon Pineda,"SQL, Python, Deep Learning",3,MBA,None,Data Scientist,Hire,112439,10,95,"['sql', 'python', 'deep learning']",1,male,Hispanic
20,Jennifer Collins,"Machine Learning, SQL, Python",10,B.Tech,Deep Learning Specialization,Data Scientist,Hire,53167,9,100,"['machine learning', 'sql', 'python']",1,female,unknown
21,Nichole Welch,"SQL, Java, C++, React",5,B.Sc,None,Software Engineer,Hire,57546,4,90,"['sql', 'java', 'c++', 'react']",1,female,unknown
22,Amber Davis,"Python, TensorFlow, Pytorch, NLP",6,B.Sc,Google ML,AI Researcher,Hire,106352,10,100,"['python', 'tensorflow', 'pytorch', 'nlp']",1,female,unknown
23,William Clark,"Machine Learning, Deep Learning, SQL",4,MBA,AWS Certified,Data Scientist,Hire,107045,8,100,"['machine learning', 'deep learning', 'sql']",1,male,unknown
24,Taylor Williams,"TensorFlow, Pytorch, NLP, Python",8,MBA,Deep Learning Specialization,AI Researcher,Hire,94384,0,100,"['tensorflow', 'pytorch', 'nlp', 'python']",1,unknown,unknown
25,Lori Johnson,"Pytorch, TensorFlow, NLP, Python",0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,91064,10,80,"['pytorch', 'tensorflow', 'nlp', 'python']",1,female,unknown
26,Roy Huang,"Python, NLP",7,B.Tech,Deep Learning Specialization,AI Researcher,Hire,68447,10,100,"['python', 'nlp']",1,male,Asian
27,Christopher Ayers,"Ethical Hacking, Cybersecurity",3,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,76203,2,60,"['ethical hacking', 'cybersecurity']",0,male,unknown
28,Shaun Gomez,"Pytorch, NLP",1,M.Tech,None,AI Researcher,Reject,41731,5,45,"['pytorch', 'nlp']",0,male,Hispanic
29,Claudia Harris,"NLP, Pytorch, Python",10,B.Tech,Google ML,AI Researcher,Hire,119307,2,100,"['nlp', 'pytorch', 'python']",1,female,unknown
30,Steven Thomas,"SQL, Python",10,B.Tech,AWS Certified,Data Scientist,Hire,59926,4,100,"['sql', 'python']",1,male,unknown
31,Abigail Watts,"Python, SQL",4,PhD,None,Data Scientist,Hire,84679,10,100,"['python', 'sql']",1,female,unknown
32,Logan Mcclure,"Ethical Hacking, Networking, Linux",1,B.Sc,None,Cybersecurity Analyst,Hire,58606,10,75,"['ethical hacking', 'networking', 'linux']",1,male,unknown
33,Elizabeth Serrano,"Deep Learning, Machine Learning, SQL, Python",8,M.Tech,AWS Certified,Data Scientist,Hire,51283,4,100,"['deep learning', 'machine learning', 'sql', 'python']",1,female,Hispanic
34,Maria Glover,"TensorFlow, Python, Pytorch",9,B.Sc,Deep Learning Specialization,AI Researcher,Hire,99521,4,100,"['tensorflow', 'python', 'pytorch']",1,female,unknown
35,Sandra Juarez,"Networking, Linux, Ethical Hacking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,47001,10,75,"['networking', 'linux', 'ethical hacking']",1,female,Hispanic
36,Bradley Cruz,"NLP, Pytorch",7,PhD,AWS Certified,AI Researcher,Hire,92104,6,100,"['nlp', 'pytorch']",1,male,Hispanic
37,Darrell Wilkinson,"Python, NLP",7,M.Tech,Google ML,AI Researcher,Hire,80936,3,100,"['python', 'nlp']",1,male,unknown
38,Jason Flores,"C++, SQL, Java",5,B.Tech,Google ML,Software Engineer,Hire,97505,7,100,"['c++', 'sql', 'java']",1,male,Hispanic
39,Denise Harper,"Linux, Cybersecurity",7,PhD,None,Cybersecurity Analyst,Hire,106469,0,80,"['linux', 'cybersecurity']",1,female,unknown
40,Kim Blake,"SQL, Python",1,MBA,AWS Certified,Data Scientist,Hire,52364,8,70,"['sql', 'python']",1,female,unknown
41,Lindsey Jackson,"C++, React",10,MBA,AWS Certified,Software Engineer,Hire,101108,9,100,"['c++', 'react']",1,female,unknown
42,Frances Salazar,"Networking, Linux",1,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,51200,10,80,"['networking', 'linux']",1,female,Hispanic
43,Justin Ross,"NLP, TensorFlow, Python",3,M.Tech,None,AI Researcher,Hire,66403,10,95,"['nlp', 'tensorflow', 'python']",1,male,unknown
44,Denise Ramirez,"Machine Learning, Python",1,MBA,Deep Learning Specialization,Data Scientist,Hire,50397,8,70,"['machine learning', 'python']",1,female,Hispanic
45,Tanya West,"SQL, Python, Machine Learning",4,M.Tech,AWS Certified,Data Scientist,Hire,95486,6,95,"['sql', 'python', 'machine learning']",1,female,unknown
46,Ryan Peters,"SQL, Java",5,B.Sc,AWS Certified,Software Engineer,Hire,72756,4,90,"['sql', 'java']",1,male,unknown
47,Terry Burns,"SQL, Java, C++, React",4,MBA,AWS Certified,Software Engineer,Hire,50602,9,100,"['sql', 'java', 'c++', 'react']",1,male,unknown
48,Christopher Stevenson,"Python, Machine Learning",8,PhD,Google ML,Data Scientist,Hire,103477,9,100,"['python', 'machine learning']",1,male,unknown
49,David Nash,"React, SQL, Java",1,MBA,Deep Learning Specialization,Software Engineer,Hire,46437,9,80,"['react', 'sql', 'java']",1,male,unknown
50,Christopher Nicholson,"Pytorch, Python",5,B.Tech,Deep Learning Specialization,AI Researcher,Hire,89338,1,75,"['pytorch', 'python']",1,male,unknown
51,Kenneth Skinner,"Python, NLP, TensorFlow, Pytorch",5,PhD,None,AI Researcher,Hire,45488,9,100,"['python', 'nlp', 'tensorflow', 'pytorch']",1,male,unknown
52,Dalton Smith,"Ethical Hacking, Cybersecurity, Linux",9,M.Tech,None,Cybersecurity Analyst,Hire,55058,3,100,"['ethical hacking', 'cybersecurity', 'linux']",1,male,unknown
53,James Bailey,"SQL, Deep Learning, Machine Learning",1,MBA,None,Data Scientist,Reject,54006,4,45,"['sql', 'deep learning', 'machine learning']",0,male,unknown
54,William Hill,"Python, SQL, Machine Learning",9,B.Sc,Google ML,Data Scientist,Hire,82004,2,100,"['python', 'sql', 'machine learning']",1,male,unknown
